CitizenID,FirstName,LastName,Gender,DateOfBirth,City,State,MaritalStatus,EmploymentStatus,AnnualIncome
1,Jane,Johnson,Non-binary,1951-04-06,Chicago,NY,Married,Employed,89874
2,Alex,Johnson,Non-binary,1977-02-11,New York,TX,Married,Student,55943
3,Emily,Doe,Female,1983-12-03,Los Angeles,AZ,Single,Employed,47445
4,John,Anderson,Female,1964-10-26,Houston,NY,Single,Student,71469
5,Emily,Doe,Non-binary,1998-05-15,New York,CA,Widowed,Retired,37873
6,Emily,Smith,Male,2001-06-04,Chicago,IL,Married,Retired,130871
7,Emily,Anderson,Female,1986-04-04,New York,IL,Married,Unemployed,125791
8,Jane,Smith,Non-binary,1958-12-08,Los Angeles,AZ,Widowed,Student,75299
9,Emily,Smith,Male,1996-02-14,Los Angeles,AZ,Married,Employed,145340
10,John,Johnson,Non-binary,1988-04-17,Chicago,TX,Single,Retired,117170
11,Alex,Smith,Female,1982-10-30,Phoenix,NY,Divorced,Unemployed,73779
12,Pat,Brown,Male,1991-12-30,Los Angeles,TX,Single,Retired,76073
13,Alex,Doe,Non-binary,1966-02-02,Los Angeles,IL,Divorced,Employed,100110
14,Alex,Brown,Male,2005-09-19,Houston,TX,Widowed,Retired,41815
15,John,Anderson,Female,1986-11-15,Chicago,CA,Single,Student,60226
16,Jane,Doe,Non-binary,1975-04-25,Houston,CA,Divorced,Student,124285
17,Emily,Anderson,Male,1974-08-12,Phoenix,NY,Married,Student,120606
18,Pat,Taylor,Female,1954-09-07,Phoenix,AZ,Widowed,Unemployed,29832
19,Pat,Smith,Female,1953-07-16,New York,IL,Married,Unemployed,65397
20,Pat,Johnson,Non-binary,1972-03-02,New York,AZ,Married,Student,99374
21,Alex,Doe,Male,1979-09-20,Phoenix,IL,Divorced,Employed,116795
22,Emily,Smith,Male,1974-05-23,Chicago,TX,Single,Unemployed,149874
23,Emily,Brown,Female,1976-06-11,New York,TX,Divorced,Retired,74684
24,Chris,Taylor,Female,2002-09-03,Chicago,CA,Divorced,Student,57354
25,John,Taylor,Male,1982-09-03,Houston,CA,Single,Employed,33183
26,John,Johnson,Female,1970-08-08,Phoenix,IL,Married,Student,149276
27,Alex,Doe,Female,1953-11-28,Chicago,AZ,Single,Unemployed,142095
